Zone,AverageTime
Midtown South,15.4246742801138
Lincoln Square East,8.52811011231111
Rikers Island,0.142857142857143
Governor's Island/Ellis Island/Liberty Island,0.133333333333333
Grymes Hill/Clifton,0.126998562501834
Stapleton,0.115280464216634
NA,0.0935874623597044
Murray Hill,0.0748804135910418
Meatpacking/West Village West,0.0723080941187644
Clinton East,0.0714656601797714
Newark Airport,0.0584646670055923
Arrochar/Fort Wadsworth,0.0508271005077251
Saint George/New Brighton,0.049348513598988
West Brighton,0.0458775825448928
Eltingville/Annadale/Prince's Bay,0.0447316103379722
Hammels/Arverne,0.043821719607517
Flushing,0.0437310365077812
Country Club,0.0434404865334492
North Corona,0.0423814563682674
East Elmhurst,0.0419664566069568
Baisley Park,0.0411165345233211
South Beach/Dongan Hills,0.0398198801682111
East Harlem South,0.039725715442423
Queensbridge/Ravenswood,0.0387382910984744
Central Harlem North,0.0387121936821911
Bronx Park,0.0386754458863389
East Harlem North,0.0385478535679591
Jamaica Bay,0.0384615384615385
Saint Michaels Cemetery/Woodside,0.0382824624935334
Coney Island,0.0370963699175031
NV,0.0370661988497967
Brooklyn Navy Yard,0.0362608117099135
Elmhurst/Maspeth,0.0361176187901724
Howard Beach,0.0353631425755735
Gravesend,0.0353365953752664
Cambria Heights,0.0351223151947983
Central Park,0.0350424882435443
Hamilton Heights,0.0347376608761371
Bath Beach,0.0344891673746814
Springfield Gardens North,0.0341239173884077
Van Nest/Morris Park,0.0340441880215144
Soundview/Castle Hill,0.0335129998366668
Schuylerville/Edgewater Park,0.033198973983144
Inwood,0.0329085336344572
City Island,0.0326409495548961
Crotona Park East,0.032346485578558
Yorkville West,0.032212016088325
Woodlawn/Wakefield,0.0321990323329346
Gowanus,0.0321594313119868
Prospect-Lefferts Gardens,0.0321227950665631
Bensonhurst West,0.0319736442845377
Central Harlem,0.0315510336616517
Melrose South,0.03146233803218
University Heights/Morris Heights,0.0314514457739335
Parkchester,0.0313260563012482
Pelham Parkway,0.0313052796298816
Port Richmond,0.0312209379566893
Starrett City,0.03117994282306
Oakwood,0.0311529325781107
Morningside Heights,0.0310903040216594
College Point,0.0310643428696701
Cypress Hills,0.0310446780551905
Washington Heights South,0.0310261365189046
Manhattan Valley,0.0309566792242545
Kips Bay,0.0308077539881271
Richmond Hill,0.0305808222685281
Red Hook,0.0304928662041315
Old Astoria,0.0304498097406158
Corona,0.0304196323881558
Eastchester,0.0303317443895458
Crown Heights North,0.0301820400350012
Sunset Park East,0.0301802484095729
Bedford Park,0.0300925047823943
Far Rockaway,0.0299719430547927
Queens Village,0.0299560732332963
Manhattanville,0.029873450496812
Hillcrest/Pomonok,0.0298659911750286
East Flatbush/Farragut,0.0297967619703755
South Ozone Park,0.0297914968215654
Bedford,0.0297572162910241
UN/Turtle Bay South,0.0297433051423424
Crown Heights South,0.0294562586445367
Allerton/Pelham Gardens,0.029438868901092
Westchester Village/Unionport,0.0293279686820357
Downtown Brooklyn/MetroTech,0.0293229156338205
Bay Terrace/Fort Totten,0.0292040798535437
