Borough,Borough:1,Zone,Zone:1,AverageTime
Manhattan,Manhattan,SoHo,Two Bridges/Seward Park,14.3439703153989
Queens,Brooklyn,Glendale,East New York,15.901875
Staten Island,Staten Island,Saint George/New Brighton,Grymes Hill/Clifton,11.791784435651
Bronx,Manhattan,Mount Hope,Washington Heights North,13.5931165540541
Bronx,Bronx,Williamsbridge/Olinville,Longwood,20.2980501392758
Queens,Queens,Maspeth,Elmhurst,10.2847716392806
Bronx,Bronx,Highbridge,Westchester Village/Unionport,17.8845238095238
Manhattan,Manhattan,Sutton Place/Turtle Bay North,West Village,21.0793695468618
Queens,Queens,Steinway,Astoria,9.79136690647482
Bronx,Bronx,Soundview/Bruckner,Williamsbridge/Olinville,14.0125707102451
Manhattan,Brooklyn,Washington Heights South,Brighton Beach,57.1612903225807
Manhattan,Manhattan,Murray Hill,East Village,10.8530817610063
Manhattan,Manhattan,Morningside Heights,Hamilton Heights,9.57411612066169
Queens,Manhattan,Old Astoria,Midtown East,21.262962962963
Manhattan,Bronx,Washington Heights North,Mount Hope,13.7959935528437
Brooklyn,Brooklyn,Greenpoint,Ocean Hill,28.1803977272727
Manhattan,Manhattan,East Chelsea,Union Sq,10.3382352941176
Manhattan,Manhattan,Flatiron,Lenox Hill West,20.4247017091261
Bronx,Bronx,Mott Haven/Port Morris,Melrose South,8.36210265763418
Bronx,Unknown,Longwood,NA,33.410085054678
Queens,Queens,Kew Gardens,Forest Hills,9.56973702326862
Bronx,Bronx,Longwood,Kingsbridge Heights,21.9936305732484
Manhattan,Brooklyn,East Village,Greenpoint,18.5021834061135
Manhattan,Bronx,East Harlem North,Hunts Point,17.9144003566652
Queens,Queens,Flushing,Elmhurst,27.4055299539171
Brooklyn,Brooklyn,South Williamsburg,Boerum Hill,17.884375
Brooklyn,Brooklyn,Windsor Terrace,Clinton Hill,19.9035433070866
Brooklyn,Brooklyn,Red Hook,East Flatbush/Remsen Village,32.0238907849829
Bronx,Bronx,Mount Hope,Mount Hope,7.98736066005442
Manhattan,Manhattan,Upper East Side South,Kips Bay,16.4809602649007
Manhattan,Manhattan,Clinton East,Upper West Side South,10.0916023520764
Brooklyn,Brooklyn,Ocean Hill,Brownsville,9.19367618478098
Queens,Brooklyn,Laurelton,Clinton Hill,43.1071428571429
Manhattan,Bronx,Manhattanville,East Concourse/Concourse Village,18.6848159509202
Brooklyn,Brooklyn,Flatlands,Flatbush/Ditmas Park,10.6234660925727
Queens,Queens,Elmhurst,East Elmhurst,13.8889663182346
Queens,Queens,Astoria,East Elmhurst,13.0393939393939
Brooklyn,Brooklyn,Downtown Brooklyn/MetroTech,East Flatbush/Remsen Village,29.695274831244
Bronx,Bronx,Woodlawn/Wakefield,Parkchester,17.8703448275862
Bronx,Bronx,Highbridge,Williamsbridge/Olinville,21.3078231292517
Manhattan,Manhattan,Upper West Side South,Financial District North,28.9699398797595
Brooklyn,Brooklyn,Bedford,Coney Island,37.4515418502203
Brooklyn,Brooklyn,Madison,Marine Park/Mill Basin,11.1942857142857
Brooklyn,Manhattan,Greenpoint,Upper West Side South,29.1554770318021
Queens,Queens,Laurelton,Laurelton,6.72513996267662
Bronx,Bronx,Soundview/Bruckner,West Farms/Bronx River,6.0558197747184
Manhattan,Brooklyn,Washington Heights South,Bedford,43.4459930313589
Brooklyn,Manhattan,Williamsburg (South Side),Murray Hill,22.627374301676
Manhattan,Brooklyn,Upper East Side South,Clinton Hill,35.7126213592233
Manhattan,Manhattan,Lenox Hill West,Lincoln Square East,12.404154096078
Bronx,Manhattan,East Concourse/Concourse Village,Central Harlem North,13.5616979269497
Manhattan,Manhattan,Penn Station/Madison Sq West,Greenwich Village North,11.7067793800762
Brooklyn,Brooklyn,Bensonhurst East,Brighton Beach,13.2081902893575
Manhattan,Manhattan,Union Sq,SoHo,12.6142520612485
Manhattan,Manhattan,Washington Heights North,Washington Heights South,9.41137947050627
Manhattan,Manhattan,Washington Heights South,Upper West Side South,15.7910147518999
Manhattan,Manhattan,Little Italy/NoLiTa,Gramercy,9.69255874673629
Manhattan,Queens,Greenwich Village North,Jackson Heights,29.0921052631579
Bronx,Bronx,East Concourse/Concourse Village,Pelham Parkway,21.5551601423488
Brooklyn,Brooklyn,Williamsburg (South Side),Bedford,12.5778655416928
Bronx,Bronx,East Concourse/Concourse Village,Mount Hope,9.38195682313329
Manhattan,Manhattan,Greenwich Village North,Upper East Side North,24.9945681694731
Bronx,Bronx,Woodlawn/Wakefield,Norwood,11.3361486486487
Brooklyn,Brooklyn,Gowanus,Bedford,19.8237490664675
Brooklyn,Brooklyn,Cypress Hills,Crown Heights South,22.3640939597315
Bronx,Bronx,East Concourse/Concourse Village,Highbridge,9.33341702234497
Manhattan,Queens,Penn Station/Madison Sq West,Hollis,43.5151515151515
Manhattan,Manhattan,East Chelsea,Lincoln Square East,13.4275300171527
Manhattan,Brooklyn,SoHo,Gowanus,23.8358974358974
Queens,Queens,Corona,Forest Hills,11.3848234171174
Manhattan,Manhattan,Yorkville West,Greenwich Village South,24.2289972899729
Bronx,Bronx,Crotona Park East,Hunts Point,8.49942647396192
Manhattan,Manhattan,Times Sq/Theatre District,Union Sq,13.5602127659574
Manhattan,Brooklyn,Upper East Side South,Boerum Hill,32.8933092224232
Manhattan,Bronx,East Harlem North,Mott Haven/Port Morris,10.973958797824
Brooklyn,Brooklyn,Bushwick South,East Flatbush/Remsen Village,20.0235207644248
Manhattan,Brooklyn,Central Harlem North,Greenpoint,28.3837471783296
Brooklyn,Manhattan,Williamsburg (South Side),West Village,23.0613362541073
Bronx,Bronx,East Tremont,Mott Haven/Port Morris,15.945870275315
Manhattan,Manhattan,Gramercy,UN/Turtle Bay South,9.57082399800846
Queens,Queens,North Corona,Jackson Heights,10.5280592361652
Manhattan,Manhattan,East Chelsea,Yorkville West,22.8996466431095
Queens,Brooklyn,Baisley Park,Ocean Parkway South,35
Manhattan,Manhattan,Lincoln Square East,UN/Turtle Bay South,15.5259189443921
Bronx,Bronx,Crotona Park East,Mott Haven/Port Morris,14.4094663278272
Manhattan,Manhattan,SoHo,Little Italy/NoLiTa,8.67202654415518
Queens,Queens,Briarwood/Jamaica Hills,South Jamaica,10.9398148148148
Brooklyn,Manhattan,Brooklyn Heights,East Chelsea,25.660542432196
Manhattan,Brooklyn,Two Bridges/Seward Park,Clinton Hill,20.6354166666667
Manhattan,Manhattan,Midtown Center,Clinton West,12.2032258064516
Bronx,Bronx,Mount Hope,Pelham Parkway,17.4646754738656
Brooklyn,Brooklyn,Bath Beach,Bath Beach,7.19846153846154
Manhattan,Brooklyn,East Village,Crown Heights North,28.9487254614708
Queens,Queens,Elmhurst/Maspeth,Jackson Heights,10.8679696848823
Bronx,Queens,Schuylerville/Edgewater Park,Old Astoria,21.9782608695652
Brooklyn,Brooklyn,Williamsburg (North Side),Greenpoint,7.79045131330721
Brooklyn,Brooklyn,Manhattan Beach,Gravesend,9.90358744394619
Bronx,Manhattan,Crotona Park,Alphabet City,28.6666666666667
Manhattan,Manhattan,Financial District North,Murray Hill,16.5719663418955
Manhattan,Manhattan,Central Harlem,Marble Hill,23.318407960199
Brooklyn,Brooklyn,Crown Heights South,Flatbush/Ditmas Park,14.7992371009837
Brooklyn,Brooklyn,Crown Heights North,Park Slope,14.7909297364256
Queens,Queens,East Flushing,College Point,35.9314024390244
Manhattan,Brooklyn,Financial District North,Williamsburg (North Side),21.4168853893263
Bronx,Bronx,Longwood,Hunts Point,7.38736695166638
Manhattan,Brooklyn,Flatiron,Williamsburg (North Side),27.4237895995218
Brooklyn,Brooklyn,Fort Greene,Borough Park,25.8426763110307
Manhattan,Manhattan,Flatiron,UN/Turtle Bay South,14.6913233458177
Bronx,Bronx,Mott Haven/Port Morris,Longwood,10.7124082607954
Brooklyn,Brooklyn,Bushwick South,Bedford,11.6398522357612
Manhattan,Manhattan,Central Harlem North,Central Harlem North,7.78297914255461
Manhattan,Manhattan,Greenwich Village North,Penn Station/Madison Sq West,10.7291871402499
Manhattan,Bronx,Financial District North,Claremont/Bathgate,37.4794520547945
Manhattan,Manhattan,Midtown South,Washington Heights North,29.6439306358382
Bronx,Bronx,Norwood,Pelham Parkway,13.1946372994972
Brooklyn,Brooklyn,Williamsburg (North Side),Crown Heights North,22.7340276698275
Brooklyn,Manhattan,Greenpoint,Upper East Side North,25.6520179372197
Manhattan,Manhattan,Midtown Center,Times Sq/Theatre District,9.70531062124249
